中心 X,中心 Y
224871.0889,77455.5622
224871.0889,74857.5622
224871.0889,100837.5622
224871.0889,95641.5622
224871.0889,85249.5622
224871.0889,82651.5622
224871.0889,87847.5622
224871.0889,93043.5622
224871.0889,90445.5622
225621.0889,81352.5622
225621.0889,99538.5622
225621.0889,78754.5622
225621.0889,102136.5622
225621.0889,76156.5622
225621.0889,96940.5622
225621.0889,86548.5622
225621.0889,83950.5622
225621.0889,89146.5622
225621.0889,94342.5622
225621.0889,91744.5622
226371.0889,80053.5622
226371.0889,98239.5622
226371.0889,77455.5622
226371.0889,74857.5622
226371.0889,100837.5622
226371.0889,95641.5622
226371.0889,85249.5622
226371.0889,82651.5622
226371.0889,87847.5622
226371.0889,93043.5622
226371.0889,90445.5622
227121.0889,81352.5622
227121.0889,99538.5622
227121.0889,78754.5622
227121.0889,102136.5622
227121.0889,76156.5622
227121.0889,96940.5622
227121.0889,86548.5622
227121.0889,83950.5622
227121.0889,89146.5622
227121.0889,94342.5622
227121.0889,91744.5622
227871.0889,80053.5622
227871.0889,98239.5622
227871.0889,77455.5622
227871.0889,74857.5622
227871.0889,100837.5622
227871.0889,95641.5622
227871.0889,85249.5622
227871.0889,82651.5622
227871.0889,87847.5622
227871.0889,93043.5622
227871.0889,90445.5622
228621.0889,81352.5622
228621.0889,99538.5622
228621.0889,78754.5622
228621.0889,102136.5622
228621.0889,76156.5622
228621.0889,96940.5622
228621.0889,86548.5622
228621.0889,83950.5622
228621.0889,89146.5622
228621.0889,94342.5622
228621.0889,91744.5622
229371.0889,80053.5622
229371.0889,98239.5622
229371.0889,77455.5622
229371.0889,74857.5622
229371.0889,100837.5622
229371.0889,95641.5622
229371.0889,85249.5622
229371.0889,82651.5622
229371.0889,87847.5622
229371.0889,93043.5622
229371.0889,90445.5622
230121.0889,81352.5622
230121.0889,99538.5622
230121.0889,78754.5622
230121.0889,102136.5622
230121.0889,76156.5622
230121.0889,96940.5622
230121.0889,86548.5622
230121.0889,83950.5622
230121.0889,89146.5622
230121.0889,94342.5622
230121.0889,91744.5622
230871.0889,80053.5622
230871.0889,98239.5622
230871.0889,77455.5622
230871.0889,74857.5622
230871.0889,100837.5622
230871.0889,95641.5622
230871.0889,85249.5622
230871.0889,82651.5622
230871.0889,87847.5622
230871.0889,93043.5622
230871.0889,90445.5622
231621.0889,81352.5622
231621.0889,99538.5622
231621.0889,78754.5622
231621.0889,102136.5622
231621.0889,76156.5622
231621.0889,96940.5622
231621.0889,86548.5622
231621.0889,83950.5622
231621.0889,89146.5622
231621.0889,94342.5622
231621.0889,91744.5622
232371.0889,80053.5622
232371.0889,98239.5622
232371.0889,77455.5622
232371.0889,74857.5622
232371.0889,100837.5622
232371.0889,95641.5622
232371.0889,85249.5622
232371.0889,82651.5622
232371.0889,87847.5622
232371.0889,93043.5622
232371.0889,90445.5622
233121.0889,81352.5622
233121.0889,99538.5622
233121.0889,78754.5622
233121.0889,102136.5622
233121.0889,76156.5622
233121.0889,96940.5622
233121.0889,86548.5622
233121.0889,83950.5622
233121.0889,89146.5622
233121.0889,94342.5622
233121.0889,91744.5622
233871.0889,80053.5622
233871.0889,98239.5622
233871.0889,77455.5622
233871.0889,74857.5622
233871.0889,100837.5622
233871.0889,95641.5622
233871.0889,85249.5622
233871.0889,82651.5622
233871.0889,87847.5622
233871.0889,93043.5622
233871.0889,90445.5622
234621.0889,81352.5622
234621.0889,99538.5622
234621.0889,78754.5622
234621.0889,102136.5622
234621.0889,76156.5622
234621.0889,96940.5622
234621.0889,86548.5622
234621.0889,83950.5622
234621.0889,89146.5622
234621.0889,94342.5622
234621.0889,91744.5622
235371.0889,80053.5622
235371.0889,98239.5622
235371.0889,77455.5622
235371.0889,74857.5622
235371.0889,100837.5622
235371.0889,95641.5622
235371.0889,85249.5622
235371.0889,82651.5622
235371.0889,87847.5622
235371.0889,93043.5622
235371.0889,90445.5622
236121.0889,81352.5622
236121.0889,99538.5622
236121.0889,78754.5622
236121.0889,102136.5622
236121.0889,76156.5622
236121.0889,96940.5622
236121.0889,86548.5622
236121.0889,83950.5622
236121.0889,89146.5622
236121.0889,94342.5622
236121.0889,91744.5622
236871.0889,80053.5622
236871.0889,98239.5622
236871.0889,77455.5622
236871.0889,74857.5622
236871.0889,100837.5622
236871.0889,95641.5622
236871.0889,85249.5622
236871.0889,82651.5622
236871.0889,87847.5622
236871.0889,93043.5622
236871.0889,90445.5622
237621.0889,81352.5622
237621.0889,99538.5622
237621.0889,78754.5622
237621.0889,102136.5622
237621.0889,76156.5622
237621.0889,96940.5622
237621.0889,86548.5622
237621.0889,83950.5622
237621.0889,89146.5622
237621.0889,94342.5622
237621.0889,91744.5622
238371.0889,80053.5622
238371.0889,98239.5622
238371.0889,77455.5622
238371.0889,74857.5622
238371.0889,100837.5622
238371.0889,95641.5622
238371.0889,85249.5622
238371.0889,82651.5622
238371.0889,87847.5622
238371.0889,93043.5622
238371.0889,90445.5622
239121.0889,81352.5622
239121.0889,99538.5622
239121.0889,78754.5622
239121.0889,102136.5622
239121.0889,76156.5622
239121.0889,96940.5622
239121.0889,86548.5622
239121.0889,83950.5622
239121.0889,89146.5622
239121.0889,94342.5622
239121.0889,91744.5622
239871.0889,80053.5622
239871.0889,98239.5622
239871.0889,77455.5622
239871.0889,74857.5622
239871.0889,100837.5622
239871.0889,95641.5622
239871.0889,85249.5622
239871.0889,82651.5622
239871.0889,87847.5622
239871.0889,93043.5622
239871.0889,90445.5622
240621.0889,81352.5622
